,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
1,48360,56,192000,149506024,39424,196111704,7200,10,0,0,0,TACC-Frontera
3,238,8,20240,1283628100,512,527014528,34800,9,1,0,1,CERN
7,1951920,8,24576,1830108708,28160,199701984,34800,9,1,0,1,Lancaster
8,2157042,1,2500,1500135140,512,267460984,32400,1,1,1,1,Michigan
9,467131,8,24576,3643031404,20480,263837828,34800,7,1,0,1,SGrid
10,1041397,4,16000,249467208,16384,28642924,34800,4,0,0,1,JINR_CLOUD
12,224,4,16000,750869880,36608,428775740,34800,4,1,0,1,London_QMUL
13,1956003,1,2500,1581811428,512,267136072,32400,1,1,1,1,Michigan
23,98749,4,16000,187190028,16384,125611268,34800,5,0,0,1,JINR_CLOUD
26,21715,64,122000,669995148,40960,131890088,7200,16,0,0,0,T3_US_NERSC
27,43765,1,2500,1230587676,25600,135806108,32400,1,1,1,0,Michigan
28,145893,8,24576,860207100,20480,98066592,34800,9,0,0,0,Lancaster
29,1438271,128,248000,371350200,512,355757668,7200,32,0,0,0,Purdue-Anvil
30,7191822,128,248000,371350200,512,355757668,7200,32,1,0,0,Purdue-Anvil
35,8917523,128,248000,371401676,512,357456232,7200,32,0,0,0,Purdue-Anvil
38,39864,8,32768,837504208,512,520573696,14400,9,1,0,0,UConn-HPC
39,79428,128,248000,371401620,512,353772392,7200,32,1,0,0,Purdue-Anvil
40,696591,128,248000,371401736,512,357302888,7200,23,0,0,0,Purdue-Anvil
41,439327,8,32768,873807956,512,524667028,14400,9,1,0,0,UConn-HPC
42,7134647,2,6400,646810112,25600,135623748,34800,3,1,0,1,BR_CBPF
46,5037709,8,32768,13954744696,512,593258528,34800,9,1,0,1,Manchester
47,185053,4,16000,251440528,16384,28642928,34800,5,1,0,1,JINR_CLOUD
48,1166013,8,20240,1321855340,512,522228448,34800,9,1,0,1,CERN
55,2378736,8,16384,2877374540,512,317959936,34800,8,1,0,1,PIC
57,1621932,4,16000,251442784,16384,28642928,34800,5,0,0,0,JINR_CLOUD
58,9248063,128,248000,371398108,512,356851048,7200,32,0,0,0,Purdue-Anvil
59,1969824,8,48000,1673319844,512,398332892,34800,9,1,0,0,IN_TIFR
61,2748720,128,248000,371397824,512,355796840,7200,32,0,0,0,Purdue-Anvil
63,145,1,3000,6862955316,35840,194539792,34800,1,1,1,0,BNL
70,1142007,4,16000,335287408,16384,44467480,34800,4,0,0,1,JINR_CLOUD
